Row ID,Community,Street,Incident Type,Date of Event,Incident Summary,Name of Person,Contact Information,Injuries Occurred,Injuries Count,Deaths Occurred,Deaths Count,Building Damage,Special Needs Occupants,Estimated Damage Cost,Action Taken,Relief Supplied,Forwarded To Agency,Further Assessment Required,Other Follow Up
1,Petit Valley,Cameron Road,flooding_,2023-06-28,Flooding reported at Cameron Road.,Resident 1,8685551001,No,,No,,Ground floor inundated,,"$22,000",DMU team responded and cleared the roadway.,Yes,Yes,No,No
2,Maraval,Saddle Road,landslide,2023-06-29,Landslide reported at Saddle Road.,Resident 2,8685551002,No,,No,,Ground floor inundated,,"$12,500",Assessment complete. Tarpaulin issued to resident.,No,Yes,No,No
3,Diamond Vale,Opal Gardens,fallen_tree,2023-06-30,Fallen Tree reported at Opal Gardens.,Resident 3,8685551003,No,,No,,Ground floor inundated,,,Referred to Self-Help for further assistance.,Yes,No,No,No
4,River Estate,Yellow Bird Drive,blown_off_roof,2023-06-27,Blown Off Roof reported at Yellow Bird Drive.,Resident 4,8685551004,No,,No,,Roof and ceiling water damage,,"$2,800",Cleaning hamper issued. Referred to Social Development.,No,Yes,Yes,No
5,Paramin,Saut Deau Road,flooding_,2023-06-28,Flooding reported at Saut Deau Road.,Resident 5,8685551005,No,,No,,Ground floor inundated,1,"$12,500",Assessment complete. Referred to Ministry of Works.,Yes,Yes,No,No
6,Morne Coco,Cassia Drive,landslide,2023-06-29,Landslide reported at Cassia Drive.,Resident 6,8685551006,No,,No,,Ground floor inundated,,,DMU team responded and cleared the roadway.,No,No,No,No
7,Four Roads,Upper San Diego Park,fallen_tree,2023-06-30,Fallen Tree reported at Upper San Diego Park.,Resident 7,8685551007,Yes,1,No,,Ground floor inundated,,"$12,500",Assessment complete. Tarpaulin issued to resident.,Yes,Yes,No,No
8,Haleland Park,Grapefruit Crescent,blown_off_roof,2023-06-27,Blown Off Roof reported at Grapefruit Crescent.,Resident 8,8685551008,No,,No,,Roof and ceiling water damage,,"$4,500",Referred to Self-Help for further assistance.,No,Yes,Yes,No
9,Bagatelle,Mahogany Trace,flooding_,2023-06-28,Flooding reported at Mahogany Trace.,Resident 9,8685551009,No,,No,,Ground floor inundated,,,Cleaning hamper issued. Referred to Social Development.,Yes,No,No,No
10,Carenage,Bay Road,landslide,2023-06-29,Landslide reported at Bay Road.,Resident 10,8685551010,No,,No,,Ground floor inundated,1,"$22,000",Assessment complete. Referred to Ministry of Works.,No,Yes,No,No
11,Petit Valley,Cameron Road,fallen_tree,2023-06-30,Fallen Tree reported at Cameron Road.,Resident 11,8685551011,No,,No,,Ground floor inundated,,"$1,500",DMU team responded and cleared the roadway.,Yes,Yes,No,No
12,Maraval,Saddle Road,blown_off_roof,2023-06-27,Blown Off Roof reported at Saddle Road.,Resident 12,8685551012,No,,No,,Roof and ceiling water damage,,,Assessment complete. Tarpaulin issued to resident.,No,No,Yes,No
13,Diamond Vale,Opal Gardens,flooding_,2023-06-28,Flooding reported at Opal Gardens.,Resident 13,8685551013,No,,No,,Ground floor inundated,,"$4,500",Referred to Self-Help for further assistance.,Yes,Yes,No,No
14,River Estate,Yellow Bird Drive,landslide,2023-06-29,Landslide reported at Yellow Bird Drive.,Resident 14,8685551014,Yes,1,No,,Ground floor inundated,,"$1,500",Cleaning hamper issued. Referred to Social Development.,No,Yes,No,No
15,Paramin,Saut Deau Road,fallen_tree,2023-06-30,Fallen Tree reported at Saut Deau Road.,Resident 15,8685551015,No,,No,,Ground floor inundated,1,,Assessment complete. Referred to Ministry of Works.,Yes,No,No,No
