Row ID,Community,Street,Incident Type,Date of Event,Incident Summary,Name of Person,Contact Information,Injuries Occurred,Injuries Count,Deaths Occurred,Deaths Count,Building Damage,Special Needs Occupants,Estimated Damage Cost,Action Taken,Relief Supplied,Forwarded To Agency,Further Assessment Required,Other Follow Up
1,San Juan,Aranguez Main Road,flooding_,2023-06-28,Flooding reported at Aranguez Main Road.,Resident 1,8685551001,No,,No,,Ground floor inundated,,"$22,000",DMU team responded and cleared the roadway.,Yes,Yes,No,No
2,Barataria,Sixth Avenue,landslide,2023-06-29,Landslide reported at Sixth Avenue.,Resident 2,8685551002,No,,No,,Ground floor inundated,,"$2,800",Assessment complete. Tarpaulin issued to resident.,No,Yes,No,No
3,Laventille,Picton Road,fallen_tree,2023-06-30,Fallen Tree reported at Picton Road.,Resident 3,8685551003,No,,No,,Ground floor inundated,,,Referred to Self-Help for further assistance.,Yes,No,No,No
4,Morvant,Never Dirty Road,blown_off_roof,2023-06-27,Blown Off Roof reported at Never Dirty Road.,Resident 4,8685551004,No,,No,,Roof and ceiling water damage,,"$9,000",Cleaning hamper issued. Referred to Social Development.,No,Yes,Yes,No
5,San Juan,El Socorro Road,flooding_,2023-06-28,Flooding reported at El Socorro Road.,Resident 5,8685551005,No,,No,,Ground floor inundated,1,"$4,500",Assessment complete. Referred to Ministry of Works.,Yes,Yes,No,No
6,Success,Success Village Road,landslide,2023-06-29,Landslide reported at Success Village Road.,Resident 6,8685551006,No,,No,,Ground floor inundated,,,DMU team responded and cleared the roadway.,No,No,No,No
7,Beetham,Beetham Gardens,fallen_tree,2023-06-30,Fallen Tree reported at Beetham Gardens.,Resident 7,8685551007,Yes,1,No,,Ground floor inundated,,"$22,000",Assessment complete. Tarpaulin issued to resident.,Yes,Yes,No,No
8,Laventille,Upper St Barbs Road,blown_off_roof,2023-06-27,Blown Off Roof reported at Upper St Barbs Road.,Resident 8,8685551008,No,,No,,Roof and ceiling water damage,,"$12,500",Referred to Self-Help for further assistance.,No,Yes,Yes,No
9,Barataria,Ninth Street,flooding_,2023-06-28,Flooding reported at Ninth Street.,Resident 9,8685551009,No,,No,,Ground floor inundated,,,Cleaning hamper issued. Referred to Social Development.,Yes,No,No,No
10,Petit Bourg,Saddle Road,landslide,2023-06-29,Landslide reported at Saddle Road.,Resident 10,8685551010,No,,No,,Ground floor inundated,1,"$2,800",Assessment complete. Referred to Ministry of Works.,No,Yes,No,No
11,San Juan,Aranguez Main Road,fallen_tree,2023-06-30,Fallen Tree reported at Aranguez Main Road.,Resident 11,8685551011,No,,No,,Ground floor inundated,,"$22,000",DMU team responded and cleared the roadway.,Yes,Yes,No,No
12,Barataria,Sixth Avenue,blown_off_roof,2023-06-27,Blown Off Roof reported at Sixth Avenue.,Resident 12,8685551012,No,,No,,Roof and ceiling water damage,,,Assessment complete. Tarpaulin issued to resident.,No,No,Yes,No
13,Laventille,Picton Road,flooding_,2023-06-28,Flooding reported at Picton Road.,Resident 13,8685551013,No,,No,,Ground floor inundated,,"$12,500",Referred to Self-Help for further assistance.,Yes,Yes,No,No
14,Morvant,Never Dirty Road,landslide,2023-06-29,Landslide reported at Never Dirty Road.,Resident 14,8685551014,Yes,1,No,,Ground floor inundated,,"$22,000",Cleaning hamper issued. Referred to Social Development.,No,Yes,No,No
15,San Juan,El Socorro Road,fallen_tree,2023-06-30,Fallen Tree reported at El Socorro Road.,Resident 15,8685551015,No,,No,,Ground floor inundated,1,,Assessment complete. Referred to Ministry of Works.,Yes,No,No,No
16,Success,Success Village Road,blown_off_roof,2023-06-27,Blown Off Roof reported at Success Village Road.,Resident 16,8685551016,No,,No,,Roof and ceiling water damage,,"$9,000",DMU team responded and cleared the roadway.,No,Yes,Yes,No
17,Beetham,Beetham Gardens,flooding_,2023-06-28,Flooding reported at Beetham Gardens.,Resident 17,8685551017,No,,No,,Ground floor inundated,,"$22,000",Assessment complete. Tarpaulin issued to resident.,Yes,Yes,No,No
18,Laventille,Upper St Barbs Road,landslide,2023-06-29,Landslide reported at Upper St Barbs Road.,Resident 18,8685551018,No,,No,,Ground floor inundated,,,Referred to Self-Help for further assistance.,No,No,No,No
