Row ID,Community,Street,Incident Type,Date of Event,Incident Summary,Name of Person,Contact Information,Injuries Occurred,Injuries Count,Deaths Occurred,Deaths Count,Building Damage,Special Needs Occupants,Estimated Damage Cost,Action Taken,Relief Supplied,Forwarded To Agency,Further Assessment Required,Other Follow Up
1,St Joseph,Victoria Street,flooding_,2023-06-28,Flooding reported at Victoria Street.,Resident 1,8685551001,No,,No,,Ground floor inundated,,"$9,000",DMU team responded and cleared the roadway.,Yes,Yes,No,No
2,Tunapuna,2nd Trace Maingot Road,landslide,2023-06-29,Landslide reported at 2nd Trace Maingot Road.,Resident 2,8685551002,No,,No,,Ground floor inundated,,"$22,000",Assessment complete. Tarpaulin issued to resident.,No,Yes,No,No
3,Caura,Caura Road,fallen_tree,2023-06-30,Fallen Tree reported at Caura Road.,Resident 3,8685551003,No,,No,,Ground floor inundated,,,Referred to Self-Help for further assistance.,Yes,No,No,No
4,Warrenville,Marshall Trace,blown_off_roof,2023-06-27,Blown Off Roof reported at Marshall Trace.,Resident 4,8685551004,No,,No,,Roof and ceiling water damage,,"$22,000",Cleaning hamper issued. Referred to Social Development.,No,Yes,Yes,No
5,Warrenville,Ajodha Street,flooding_,2023-06-28,Flooding reported at Ajodha Street.,Resident 5,8685551005,No,,No,,Ground floor inundated,1,"$12,500",Assessment complete. Referred to Ministry of Works.,Yes,Yes,No,No
6,Tunapuna,Pentecostal Road,landslide,2023-06-29,Landslide reported at Pentecostal Road.,Resident 6,8685551006,No,,No,,Ground floor inundated,,,DMU team responded and cleared the roadway.,No,No,No,No
7,Wallerfield,Jacob Hill,fallen_tree,2023-06-30,Fallen Tree reported at Jacob Hill.,Resident 7,8685551007,Yes,1,No,,Ground floor inundated,,"$1,500",Assessment complete. Tarpaulin issued to resident.,Yes,Yes,No,No
8,St Augustine,Freeman Road,blown_off_roof,2023-06-27,Blown Off Roof reported at Freeman Road.,Resident 8,8685551008,No,,No,,Roof and ceiling water damage,,"$12,500",Referred to Self-Help for further assistance.,No,Yes,Yes,No
9,D'abadie,Boys Lane Extension,flooding_,2023-06-28,Flooding reported at Boys Lane Extension.,Resident 9,8685551009,No,,No,,Ground floor inundated,,,Cleaning hamper issued. Referred to Social Development.,Yes,No,No,No
10,Wallerfield,Mexico Road,landslide,2023-06-29,Landslide reported at Mexico Road.,Resident 10,8685551010,No,,No,,Ground floor inundated,1,"$1,500",Assessment complete. Referred to Ministry of Works.,No,Yes,No,No
11,St Joseph,Victoria Street,fallen_tree,2023-06-30,Fallen Tree reported at Victoria Street.,Resident 11,8685551011,No,,No,,Ground floor inundated,,"$22,000",DMU team responded and cleared the roadway.,Yes,Yes,No,No
12,Tunapuna,2nd Trace Maingot Road,blown_off_roof,2023-06-27,Blown Off Roof reported at 2nd Trace Maingot Road.,Resident 12,8685551012,No,,No,,Roof and ceiling water damage,,,Assessment complete. Tarpaulin issued to resident.,No,No,Yes,No
